Nuclide,Dvalue(TBq),D1value(TBq),D2value(TBq)
Eu155,2.00E+00,2.00E+00,1.00E+02
Eu156,5.00E-02,5.00E-02,3.00E+01
Gd146,3.00E-02,3.00E-02,8.00E+00
Gd148,4.00E-01,UL,4.00E-01
Gd153,1.00E+00,1.00E+00,8.00E+01
Gd159,2.00E+00,2.00E+00,3.00E+01
Tb157,1.00E+02,1.00E+02,1.00E+03
Tb158,9.00E-02,9.00E-02,5.00E+01
Tb160,6.00E-02,6.00E-02,3.00E+01
Dy159,6.00E+00,6.00E+00,5.00E+02
Dy165,3.00E+00,3.00E+00,2.00E+01
Dy166,1.00E+00,1.00E+00,2.00E+01
Ho166,2.00E+00,2.00E+00,2.00E+01
Ho166m,4.00E-02,4.00E-02,3.00E+01
Er169,2.00E+02,2.00E+03,2.00E+02
Er171,2.00E-01,2.00E-01,2.00E+01
Tm167,6.00E-01,6.00E-01,2.00E+02
Tm170,2.00E+01,2.00E+01,2.00E+01
Tm171,3.00E+02,3.00E+02,4.00E+02
Yb169,3.00E-01,3.00E-01,3.00E+01
Yb175,2.00E+00,2.00E+00,1.00E+02
Lu172,4.00E-02,4.00E-02,6.00E+01
Lu173,9.00E-01,9.00E-01,2.00E+02
Lu174,8.00E-01,8.00E-01,1.00E+02
Lu174m,6.00E-01,6.00E-01,6.00E+01
Lu177,2.00E+00,2.00E+00,1.00E+02
Hf172,4.00E-02,4.00E-02,6.00E+00
Hf175,2.00E-01,2.00E-01,3.00E+01
Hf181,1.00E-01,1.00E-01,1.00E+01
Hf182,5.00E-02,5.00E-02,UL
Ta178a,7.00E-02,7.00E-02,4.00E+03
Ta179,6.00E+00,6.00E+00,6.00E+02
Ta182,6.00E-02,6.00E-02,3.00E+01
W178,9.00E-01,9.00E-01,6.00E+02
W181,5.00E+00,5.00E+00,2.00E+03
W185,1.00E+02,7.00E+02,1.00E+02
W187,1.00E-01,1.00E-01,3.00E+01
W188,1.00E+00,1.00E+00,8.00E+00
Re184,8.00E-02,8.00E-02,3.00E+01
Re184m,7.00E-02,7.00E-02,2.00E+01
Re186,4.00E+00,4.00E+00,1.00E+01
Re187,UL,UL,UL
Re188,1.00E+00,1.00E+00,3.00E+01
Re189,1.00E+00,1.00E+00,1.00E+01
Os185,1.00E-01,1.00E-01,7.00E+01
Os191,2.00E+00,2.00E+00,9.00E+01
Os191m,1.00E+00,1.00E+00,7.00E+02
Os193,1.00E+00,1.00E+00,3.00E+01
Os194,7.00E-01,7.00E-01,9.00E+00
Ir189,1.00E+00,1.00E+00,2.00E+02
Ir190,5.00E-02,5.00E-02,6.00E+01
Ir192,8.00E-02,8.00E-02,2.00E+01
Ir194,7.00E-01,7.00E-01,2.00E+01
Pt188,4.00E-02,4.00E-02,9.00E+01
Pt191,3.00E-01,3.00E-01,3.00E+02
Pt193,3.00E+03,1.00E+05,3.00E+03
Pt193m,1.00E+01,1.00E+01,4.00E+02
Pt195m,2.00E+00,2.00E+00,3.00E+02
Pt197,4.00E+00,4.00E+00,5.00E+01
Pt197m,9.00E-01,9.00E-01,2.00E+01
Au193,6.00E-01,6.00E-01,1.00E+03
Au194,7.00E-02,7.00E-02,4.00E+02
Au195,2.00E+00,2.00E+00,1.00E+02
Au198,2.00E-01,2.00E-01,3.00E+01
Au199,9.00E-01,9.00E-01,3.00E+02
Hg194,7.00E-02,7.00E-02,9.00E+00
Hg195m,2.00E-01,2.00E-01,1.00E+01
Hg197,2.00E+00,2.00E+00,3.00E+01
Hg197m,7.00E-01,7.00E-01,2.00E+01
Hg203,3.00E-01,3.00E-01,2.00E+00
Tl200,5.00E-02,5.00E-02,2.00E+02
Tl201,1.00E+00,1.00E+00,1.00E+03
Tl202,2.00E-01,2.00E-01,2.00E+02
Tl204,2.00E+01,7.00E+01,2.00E+01
Pb201,9.00E-02,9.00E-02,8.00E+02
Pb202,2.00E-01,2.00E-01,6.00E+01
Pb203,2.00E-01,2.00E-01,2.00E+02
Pb205,UL,UL,UL
Pb210,3.00E-01,4.00E+01,3.00E-01
Pb212,5.00E-02,5.00E-02,9.00E+00
Bi205,4.00E-02,4.00E-02,7.00E+01
Bi206,2.00E-02,2.00E-02,5.00E+01
Bi207,5.00E-02,5.00E-02,4.00E+01
Bi210,8.00E+00,5.00E+01,8.00E+00
Bi210m,3.00E-01,6.00E-01,3.00E-01
Bi212,5.00E-02,5.00E-02,1.00E+01
Po210,6.00E-02,8.00E+03,6.00E-02
At211,5.00E-01,5.00E-01,1.00E+01
Rn222,4.00E-02,4.00E-02,9.00E+04
Ra223,1.00E-01,2.00E-01,1.00E-01
Ra224,5.00E-02,5.00E-02,3.00E-01
Ra225,1.00E-01,3.00E-01,1.00E-01
Ra226,4.00E-02,4.00E-02,7.00E-02
Ra228,3.00E-02,3.00E-02,4.00E-02
Ac225,9.00E-02,3.00E-01,9.00E-02
Ac227,4.00E-02,2.00E-01,4.00E-02
Ac228,3.00E-02,3.00E-02,1.00E+02
Th227,8.00E-02,2.00E-01,8.00E-02
Th228,4.00E-02,5.00E-02,4.00E-02
Th229,1.00E-02,2.00E-01,1.00E-02
Th230,7.00E-02,9.00E+02,7.00E-02
Th231,1.00E+01,1.00E+01,3.00E+02
Th232,UL,UL,UL
Th234,2.00E+00,2.00E+00,2.00E+00
Pa230,1.00E-01,1.00E-01,9.00E-01
Pa231,6.00E-02,8.00E-01,6.00E-02
Pa233,4.00E-01,4.00E-01,8.00E+00
U230,4.00E-02,4.00E+00,4.00E-02
U232,6.00E-02,7.00E-02,6.00E-02
U233,7.00E-02,7.00E-02,7.00E-02
U234,1.00E-01,1.00E-01,1.00E-01
U235,8.00E-05,8.00E-05,8.00E-05
U236,2.00E-01,UL,2.00E-01
U238,UL,UL,UL
U Natural,UL,UL,UL
U Depleted,UL,UL,UL
U Enriched 10-20%,8.00E+04,8.00E+04,8.00E+04
U Enriched >20 %,8.00E-05,8.00E-05,8.00E-05
Np235,1.00E+02,1.00E+02,2.00E+02
Np236b,7.00E-03,7.00E-03,7.00E-03
Np236a,8.00E-01,8.00E-01,7.00E+00
Np237,7.00E-02,3.00E-01,7.00E-02
Np239,5.00E-01,5.00E-01,6.00E+01
Pu236,1.00E-01,1.00E+00,1.00E-01
Pu237,2.00E+00,2.00E+00,6.00E+01
Pu238,6.00E-02,3.00E+02,6.00E-02
Pu239,6.00E-02,1.00E+00,6.00E-02
Pu240,6.00E-02,4.00E+00,6.00E-02
Pu241,3.00E+00,2.00E+03,3.00E+00
Pu242,7.00E-02,7.00E-02,7.00E-02
Pu244,3.00E-04,3.00E-04,3.00E-04
Am241,6.00E-02,8.00E+00,6.00E-02
Am242m,3.00E-01,1.00E+00,3.00E-01
Am243,2.00E-01,4.00E-01,2.00E-01
Am244,9.00E-02,9.00E-02,9.00E+01
Cm240,3.00E-01,1.00E+00,3.00E-01
Cm241,1.00E-01,1.00E-01,7.00E+00
Cm242,4.00E-02,2.00E+03,4.00E-02
Cm243,2.00E-01,6.00E-01,2.00E-01
Cm244,5.00E-02,1.00E+04,5.00E-02
Cm245,9.00E-02,9.00E-02,9.00E-02
Cm246,2.00E-01,6.00E+00,2.00E-01
Cm247,1.00E-03,1.00E-03,1.00E-03
Cm248,5.00E-03,5.00E-03,7.00E-02
Bk247,8.00E-02,8.00E-02,8.00E-02
Bk249,1.00E+01,1.00E+01,4.00E+01
Cf248,1.00E-01,1.00E+02,1.00E-01
Cf249,1.00E-01,2.00E-01,1.00E-01
Cf250,1.00E-01,4.00E-01,1.00E-01
Cf251,1.00E-01,7.00E-01,1.00E-01
Cf252,2.00E-02,2.00E-02,1.00E-01
Cf253,4.00E-01,1.00E+01,4.00E-01
Cf254,3.00E-04,3.00E-04,2.00E-03
239Pu/9Be,6.00E-02,1.00E+00,6.00E-02
241Am/9Be,6.00E-02,1.00E+00,6.00E-02
